AP SM 07MPYB3,HB SM CG 1:3,AP SM 07CWEB1,230723XBCG,HB SM CG 3:1,HGMH3-1(MH),HGMH3-2,RCMB091723,ET MH,70LW1 (Rice's Pit)
0,,,,,,,,,
0.766871668716687,0,,,,,,,,
0.742253521126761,0.790593004521594,0,,,,,,,
0.664619883040936,0.631018968084418,0.72217692117618,0,,,,,,
0.734224318658281,0.537481723873843,0.778992824873771,0.514448857994042,0,,,,,
0.840292819895708,0.908788149253334,0.904825341943357,0.865719804927481,0.893055650160071,0,,,,
0.793528064146621,0.857781412865675,0.92496006969653,0.824208717670465,0.836816767165921,0.321960251591053,0,,,
0.961244178310046,0.95294036772703,0.925075670255733,0.962525825541899,0.968436083807228,0.950444478071535,0.945617356352587,0,,
0.864414889874041,0.805844233236506,0.718051182331481,0.801112740686422,0.832722824333529,0.63646277976053,0.625534561219093,0.972676770166654,0,
0.96910569105691,0.875792757927579,0.935188365968167,0.865083440308087,0.844880349746894,0.757424202400869,0.761461738328724,0.857189685669312,0.746955209894087,0
