NS CG1 RM,71LW75,NSFW-01RM220620,PBDB RM,ET RM,HGMH3-1(MH),HGMH3-2,RCMB091723,ET MH,70LW1 (Rice's Pit)
0,,,,,,,,,
0.789271651455919,0,,,,,,,,
0.875634517766497,0.48790120396401,0,,,,,,,
0.894503234866342,0.770840798063394,0.896039010352132,0,,,,,,
0.867062881317137,0.558425376182597,0.598987916643078,0.893056815853409,0,,,,,
0.895715326580017,0.631000405453555,0.643396332440481,0.940712438620449,0.741509942980471,0,,,,
0.887210125248934,0.644715747934394,0.619591022967247,0.945614356344992,0.757278848832407,0.329366782039913,0,,,
0.990964795174432,0.928062824785375,0.8944565009633,0.971712841126449,0.894973464029132,0.950868775598786,0.945836314682359,0,,
0.902457890051768,0.658567971363041,0.666031861917913,0.885613094156989,0.694412358619205,0.657192067171689,0.649046872753919,0.981291627349906,0,
0.959822027686876,0.803905978770212,0.82126138429769,0.962952564478873,0.870442782862272,0.84092173174568,0.835433601782401,0.864284568568986,0.855189574449837,0
