Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
ETRM,Species richness,47,51.49442379182156,7.818775384298185,47,66.81894194825432
ETRM,Shannon diversity,26.548850189649354,27.449439839530573,0.9942113140470341,25.500821470976145,29.398058208085
ETRM,Simpson diversity,19.870297482837522,20.34665915915913,0.95820700996381,18.46860792989625,22.22471038842201
NSCG1RM,Species richness,18,21.97452229299363,7.373254106091149,18,36.42583478979435
NSCG1RM,Shannon diversity,8.859283766246532,9.529284502719255,0.9327154954703675,7.7011957237749025,11.357373281663607
NSCG1RM,Simpson diversity,5.887031287317889,6.077419354838703,0.6425743902645532,4.817996692532394,7.336842017145012
NSFW01RM220620,Species richness,53,76.08411892675852,16.055480901716514,53,107.55228324859355
NSFW01RM220620,Shannon diversity,16.895548970821643,18.73942407208093,1.5170897566828399,15.765982787667928,21.71286535649393
NSFW01RM220620,Simpson diversity,7.594716242661443,7.724334031727008,0.7299448297594612,6.293668454697244,9.154999608756773
PBDBRM,Species richness,23,58.85826771653544,20.626471073769952,23,99.28540814928175
PBDBRM,Shannon diversity,10.961920796140717,12.043155940644075,1.172189553033229,9.745706633644843,14.340605247643307
PBDBRM,Simpson diversity,7.549262813011936,7.749879401833072,0.7114605991756829,6.355442251029446,9.144316552636697
x71LW75,Species richness,93,115.12925808930248,12.453863664365736,93,139.53838233983134
x71LW75,Shannon diversity,42.2639759862102,45.30308657916767,1.7887652700684598,41.797171073037426,48.80900208529791
x71LW75,Simpson diversity,23.29080476258784,23.882311362431558,1.561409184352282,20.822005595971024,26.942617128892092
